instance_name,weight,roughness
bowl_6_1,0.05,0.3470361079592257
paper_box_8_9,0.02,0.1551963643694821
tray_9_5,0.245,0.2359143130874308
tray_2_4,0.554,0.252068159241277
plate_10_4,0.389,0.2169527746258924
cup_8_9,0.166,0.2526194412925591
bowl_3_3,0.222,0.2386066207797385
bowl_5_3,0.035,0.2952091848823025
paper_box_10_3,0.02,0.2398694412925589
plastic_box_5_5,0.022,0.2534143130874308
metal_box_5_5,0.232,0.2323245694976872
bowl_9_5,0.548,0.2249591848823028
sponge_5_10,0.005,0.3605745694976873
plastic_box_9_3,0.072,0.2797796977028155
book_10_5,0.501,0.2728502105233285
cup_2_9,0.201,0.3352861079592258
plate_5_1,0.436,0.216664313087431
cup_4_8,0.13,0.2309271336002514
plate_1_3,0.17,0.2209976464207641
ball_10_2,0.033,0.1078694412925592
plastic_box_6_5,0.055,0.2895361079592259
cup_9_1,0.324,0.237863031036149
sponge_8_3,0.008,0.3831835438566618
metal_box_9_8,0.167,0.2328438002669181
metal_box_4_5,0.085,0.2078502105233283
ball_3_2,0.05,0.182593800266918
cup_8_10,0.166,0.2582091848823029
to_go_cup_6_10,0.019,0.2163502105233283
cup_3_6,0.099,0.2407155951387131
to_go_cup_4_6,0.01,0.2243758515489696
tray_10_4,0.187,0.2608053387284565
to_go_cup_1_7,0.013,0.2783822618053794
plate_8_7,0.543,0.2562348259079439
tray_8_8,0.072,0.3672989284720464
ball_7_1,0.069,0.1268117489848669
cup_5_4,0.318,0.2471643130874308
tray_2_8,0.554,0.270215595138713
plate_2_4,0.331,0.2350232874464053
paper_box_8_2,0.02,0.1542155951387129
metal_box_6_9,0.152,0.2914527746258926
bowl_4_4,0.282,0.2076963643694823
bowl_1_6,0.264,0.2183373900105079
paper_box_5_7,0.017,0.2352604669335848
tray_8_7,0.072,0.3567220053951233
tray_5_2,0.167,0.2301707233438413
ball_3_8,0.05,0.1820425182156361
plate_8_3,0.543,0.2584527746258924
bowl_2_9,0.343,0.2236386720617899
bowl_1_1,0.264,0.2408886720617901
