instance_name,length,width,hollowness
plate_8_8,0.9623444849757837,1,0.2069072934698384,0.8777124341239709
to_go_cup_3_9,0.8507594625326198,0.7952919481386296,1,0.9228680910582326
metal_box_7_8,0.7950858988584147,0.6830943201608232,1,0
paper_box_2_1,0.2751123394177657,0.6796643565072685,1,0
tray_10_10,0.6221338068884694,1,0.09541292009581064,0
cup_6_8,0.8293729574572305,0.8648165833661141,1,0.8975479795929581
tray_6_9,0.8254853547901803,1,0.08737352123270498,0
cup_9_1,0.697951928151531,1,0.7709370014124423,0.8892819149088799
metal_box_9_2,0.6338287420892795,1,0.3127683729079665,0
sponge_8_8,0.349919009198402,1,0.1796867892849792,0
sponge_9_7,0.5881716669281906,1,0.3063698263531598,0
sponge_6_7,0.6853631647698919,1,0.432980570900211,0
paper_box_8_4,0.3374848898872574,1,0.2307468231698663,0
sponge_10_9,0.9030187328181171,1,0.1370200521479327,0
metal_box_5_9,1,0.760245415779551,0.3839339100158203,0
to_go_cup_6_10,0.8410381075256717,0.8603019747950755,1,0.8970997613280774
bowl_8_9,0.9687411830351706,1,0.4371684746976052,0.9291070577896003
ball_4_3,0.5396588081074134,1,0.8228589605399163,0
plate_7_7,1,0.9830262156760836,0.101364617467887,0.6418726090503183
cup_8_9,0.5549409603243679,0.5077650854399564,1,0.9651972543319942
plate_6_10,0.9935843401476818,1,0.1096598879472661,0.5856435014668346
book_4_6,0.7547344618827225,1,0.09866145091975737,0
paper_box_4_2,0.7963523906230449,1,0.184875525428781,0
ball_2_9,0.8118065505452877,1,0.9631327491230268,0
ball_9_5,0.7471004815738862,1,0.924394695432448,0
bowl_5_5,0.9141605299730039,1,0.4211219709226834,0.7680404033877216
sponge_3_1,1,0.841499780512541,0.291174410372883,0
paper_box_2_5,0.2524933491752285,0.6904092335617245,1,0
bowl_1_5,0.6453107327165988,1,0.4467426943225191,0.8864896868070627
bowl_9_5,0.9839976953760335,1,0.5731134836489178,0.9298697623563382
plastic_box_3_9,0.4006043199507509,0.693939994813555,1,0
sponge_8_9,0.348069271742371,1,0.1784824005458603,0
bowl_4_5,1,0.999415334113682,0.5776828337664324,0.930010724153305
book_1_3,1,0.6882001778737712,0.2302801735085063,0
ball_6_6,0.6781435319360861,1,0.9796344237945945,0
ball_6_7,0.6465368215322056,1,0.9742205018564684,0
book_3_6,0.6929448906992444,1,0.1607145234479733,0
ball_5_2,0.6084766246069439,1,0.9092824672454605,0
to_go_cup_7_3,0.7624912458192651,0.759023920146288,1,0.9878137081255458
tray_9_4,0.5750533148690694,1,0.1317965829102429,0
ball_4_5,0.5184189916042529,1,0.7719911202538147,0
book_4_4,0.7542715211638462,1,0.0989420006542321,0
plastic_box_8_4,0.7066699648778147,1,0.3794954164615977,0
sponge_7_3,0.7370414965379077,1,0.3969625299647878,0
ball_1_4,0.699427697550447,1,0.8768227637732403,0
ball_5_1,0.5896030827267652,1,0.877652514485758,0
tray_10_7,0.625903967969447,1,0.09545963567136688,0
to_go_cup_3_8,0.8832554896591119,0.7958313927499345,1,0.9228157726703303
metal_box_3_2,0.9496529416424202,1,0.331360799264578,0
plastic_box_4_1,0.9399356195177241,0.9477691425862349,1,0
ball_7_6,0.6647068447723665,1,0.9311621034652933,0
